start_id,end_id,rel_type
JPB_EXTLOG_S2W,JPB_SUPPLIER,INBOUND_FROM_SUPPLIER
JPB_EXTLOG_S2W,JPB_WAREHOUSE,INBOUND_TO_WAREHOUSE
JPB_INTLOG_W2P,JPB_WAREHOUSE,INTERNAL_FROM_WAREHOUSE
JPB_INTLOG_W2P,JPB_PRODUCTION,INTERNAL_TO_PRODUCTION
JPB_EXTLOG_SALE,JPB_PRODUCTION,OUTBOUND_FROM_PRODUCTION
JPB_EXTLOG_SALE,JPB_CUSTOMER,DELIVERS_TO_CUSTOMER
KAM_EXTLOG_S2W,KAM_SUPPLIER,INBOUND_FROM_SUPPLIER
KAM_EXTLOG_S2W,KAM_PCB_WH,INBOUND_TO_WAREHOUSE
KAM_INTLOG_W2PCB,KAM_PCB_WH,INTERNAL_FROM_WAREHOUSE
KAM_INTLOG_W2PCB,KAM_PCB_PROD,INTERNAL_TO_PRODUCTION
KAM_EXTLOG_SALE,KAM_PCB_PROD,OUTBOUND_FROM_PRODUCTION
KAM_EXTLOG_SALE,KAM_CUSTOMER,DELIVERS_TO_CUSTOMER
